Date,open,high,low,close,volume
2011-05-02 00:00:00-04:00,62.13,62.36,61.4,61.9,2324829
2011-05-03 00:00:00-04:00,61.74,62.19,60.69,61.39,1828226
2011-05-04 00:00:00-04:00,61.29,61.49,60.75,61.05,1577434
2011-05-05 00:00:00-04:00,60.71,61.45,60.52,60.97,1846927
2011-05-06 00:00:00-04:00,61.5,61.55,60.29,60.45,2121920
2011-05-09 00:00:00-04:00,60.49,60.928,60.22,60.77,963490
2011-05-10 00:00:00-04:00,61.04,61.81,60.976,61.75,1647864
2011-05-11 00:00:00-04:00,61.69,61.71,60.88,61.08,1696225
2011-05-12 00:00:00-04:00,60.77,61.2741,60.39,61.15,1369503
2011-05-13 00:00:00-04:00,61.33,61.33,60.38,60.5,1449339
2011-05-16 00:00:00-04:00,60.37,61.01,60.23,60.64,2116850
2011-05-17 00:00:00-04:00,60.44,60.75,60.22,60.6,2164521
2011-05-18 00:00:00-04:00,60.59,61.25,60.34,61.2,1294698
2011-05-19 00:00:00-04:00,61.45,61.71,60.97,61.43,1315885
2011-05-20 00:00:00-04:00,61.19,61.41,60.6431,60.67,1325691
2011-05-23 00:00:00-04:00,60.08,60.36,59.92,60.04,1766071
2011-05-24 00:00:00-04:00,60.2,60.4889,60.04,60.26,1283209
2011-05-25 00:00:00-04:00,60.14,60.85,59.72,60.55,1330020
2011-05-26 00:00:00-04:00,60.48,61.51,60.27,61.36,1056463
2011-05-27 00:00:00-04:00,61.51,61.77,61.25,61.67,927076
2011-05-31 00:00:00-04:00,62.18,62.7,61.95,62.7,1586211
2011-06-01 00:00:00-04:00,62.55,62.61,60.8,60.87,2729130
2011-06-02 00:00:00-04:00,60.88,61.4048,60.34,60.45,2040410
2011-06-03 00:00:00-04:00,59.84,60.9554,59.68,60.6685,1823081
2011-06-06 00:00:00-04:00,60.5799,60.78,59.7601,59.8,1142220
2011-06-07 00:00:00-04:00,60.19,60.96,59.94,60.44,1130733
2011-06-08 00:00:00-04:00,60.16,60.81,60.11,60.2597,1474881
2011-06-09 00:00:00-04:00,60.42,60.46,59.33,59.59,1341873
2011-06-10 00:00:00-04:00,59.33,59.43,58.01,58.1,1952326
2011-06-13 00:00:00-04:00,58.25,58.76,57.98,58.37,1684263
2011-06-14 00:00:00-04:00,58.91,59.37,58.74,59.23,1099227
2011-06-15 00:00:00-04:00,58.7,59.01,57.82,58.26,1717978
2011-06-16 00:00:00-04:00,58.27,59,57.8888,58.7201,2055150
2011-06-17 00:00:00-04:00,59.36,59.445,58.73,59.29,1859135
2011-06-20 00:00:00-04:00,59.08,60.15,59.08,60.02,1833515
2011-06-21 00:00:00-04:00,60.36,60.5316,59.9902,60.48,1342330
2011-06-22 00:00:00-04:00,60.34,60.88,60.23,60.29,2141662
2011-06-23 00:00:00-04:00,59.47,59.56,58.53,59.05,2521357
2011-06-24 00:00:00-04:00,58.71,59.0401,58.204,58.55,2017503
2011-06-27 00:00:00-04:00,58.61,59.05,58.53,58.85,1195789
2011-06-28 00:00:00-04:00,59.02,59.37,58.64,59.32,1211055
2011-06-29 00:00:00-04:00,59.64,60.09,59.32,59.95,2012684
2011-06-30 00:00:00-04:00,60.14,60.4,59.83,60.09,1701108
2011-07-01 00:00:00-04:00,60.27,61.3,60.12,61.15,1511013
2011-07-05 00:00:00-04:00,61.31,61.79,60.84,61.64,1639514
2011-07-06 00:00:00-04:00,61.42,62.15,61.34,62.09,1505364
2011-07-07 00:00:00-04:00,62.53,62.99,62.45,62.86,1435459
2011-07-08 00:00:00-04:00,62.13,62.78,61.96,62.73,1808319
2011-07-11 00:00:00-04:00,61.87,62.18,61.526,61.61,1848367
2011-07-12 00:00:00-04:00,61.44,62.74,61.36,61.88,2030046
2011-07-13 00:00:00-04:00,62.05,62.2,61.22,61.26,1737393
2011-07-14 00:00:00-04:00,61.42,61.51,60.43,60.66,1634005
2011-07-15 00:00:00-04:00,60.94,61.38,60.53,61.37,1487066
2011-07-18 00:00:00-04:00,61.19,61.29,60.41,60.91,1232506
2011-07-19 00:00:00-04:00,61.31,61.95,61.1001,61.94,1317445
2011-07-20 00:00:00-04:00,62.16,62.48,61.8,62.39,1349431
2011-07-21 00:00:00-04:00,62.71,63.23,62.7,62.89,1328037
2011-07-22 00:00:00-04:00,62.99,63.32,62.708,63.2,1157331
2011-07-25 00:00:00-04:00,62.47,62.99,62.29,62.58,2381786
2011-07-26 00:00:00-04:00,62.55,62.96,62.21,62.72,1728882
2011-07-27 00:00:00-04:00,62.38,62.53,60.92,60.96,1745339
2011-07-28 00:00:00-04:00,60.95,61.62,60.37,61.02,2064514
2011-07-29 00:00:00-04:00,60.49,61.1426,59.96,61.05,1884515
2011-08-01 00:00:00-04:00,61.77,62,59.64,60.09,2551212
2011-08-02 00:00:00-04:00,59.73,60.04,58.13,58.18,3106364
2011-08-03 00:00:00-04:00,58.29,58.3,56.21,57.75,4609037
2011-08-04 00:00:00-04:00,57.1,57.26,54.76,54.87,4379380
2011-08-05 00:00:00-04:00,55.46,55.59,52.7,53.52,6430056
2011-08-08 00:00:00-04:00,51.71,52.44,48.72,48.89,8645394
2011-08-09 00:00:00-04:00,49.52,53.43,48.96,53.32,7295321
2011-08-10 00:00:00-04:00,52.22,54.69,51.66,52.1,7488219
2011-08-11 00:00:00-04:00,52.48,55.85,52.13,54.82,4257914
2011-08-12 00:00:00-04:00,55.47,56.31,54.49,54.79,3952764
2011-08-15 00:00:00-04:00,55.21,56.84,55.11,56.81,2475961
2011-08-16 00:00:00-04:00,56.19,56.99,55.67,56.62,2657772
2011-08-17 00:00:00-04:00,56.9,57.5,56.27,56.77,2204704
2011-08-18 00:00:00-04:00,54.86,55.45,53.65,54.24,3334238
2011-08-19 00:00:00-04:00,53.2,54.68,53.07,53.21,3215922
2011-08-22 00:00:00-04:00,54.41,54.58,52.52,53.29,2169884
2011-08-23 00:00:00-04:00,53.33,54.63,53,54.61,2589630
2011-08-24 00:00:00-04:00,54.46,55.48,53.9602,55.34,3041794
2011-08-25 00:00:00-04:00,55.6,56.25,53.69,54.27,2289639
2011-08-26 00:00:00-04:00,53.98,55.13,52.74,54.97,2767264
2011-08-29 00:00:00-04:00,55.63,56.86,55.62,56.79,1881243
2011-08-30 00:00:00-04:00,56.7,57.39,55.8,57.02,2666474
2011-08-31 00:00:00-04:00,57.42,57.89,56.818,57.58,2879312
2011-09-01 00:00:00-04:00,57.52,57.96,56.52,56.78,4088713
2011-09-02 00:00:00-04:00,55.64,56.45,55.28,55.35,3020019
2011-09-06 00:00:00-04:00,53.73,55.44,53.66,55.22,2753191
2011-09-07 00:00:00-04:00,55.91,57.3519,55.26,57.31,1844294
2011-09-08 00:00:00-04:00,56.88,57.59,56.58,56.85,2347876
2011-09-09 00:00:00-04:00,56.32,56.59,54.5603,55.03,2372941
2011-09-12 00:00:00-04:00,54.02,55.27,54.02,55.27,4209374
2011-09-13 00:00:00-04:00,55.59,55.612,54.74,55.4,2135832
2011-09-14 00:00:00-04:00,55.5,56.1155,54.6798,55.75,2032481
2011-09-15 00:00:00-04:00,56.45,56.71,55.83,56.66,2770586
2011-09-16 00:00:00-04:00,56.68,57.22,55.94,57.2,1944777
2011-09-19 00:00:00-04:00,56.2299,56.489,55.8,55.97,1895126
2011-09-20 00:00:00-04:00,55.9,56.659,55.71,55.88,1454270
2011-09-21 00:00:00-04:00,55.88,55.98,52.93,52.99,2682523
2011-09-22 00:00:00-04:00,51.84,52.55,50.87,51.66,4252842
2011-09-23 00:00:00-04:00,51,51.74,50.65,51.56,2533834
2011-09-26 00:00:00-04:00,52.01,52.37,51.16,52.32,2165266
2011-09-27 00:00:00-04:00,53.19,53.78,52.53,52.83,1693060
2011-09-28 00:00:00-04:00,52.69,53.26,51.36,51.44,2154135
2011-09-29 00:00:00-04:00,52.46,52.57,51.49,52.32,2076331
2011-09-30 00:00:00-04:00,51.4,52.37,50.86,50.86,1747879
2011-10-03 00:00:00-04:00,50.34,51.28,48.4,48.4,4028363
2011-10-04 00:00:00-04:00,47.79,50.58,47.1,50.49,5128332
2011-10-05 00:00:00-04:00,50.58,50.58,47.87,49.98,8630458
2011-10-06 00:00:00-04:00,49.9,51.41,49.37,51.33,2430944
2011-10-07 00:00:00-04:00,51.57,51.81,49.78,49.84,2837798
2011-10-10 00:00:00-04:00,50.85,52.39,50.75,52.32,2109159
2011-10-11 00:00:00-04:00,52,52.19,51.07,51.3,2124931
2011-10-12 00:00:00-04:00,51.85,52.97,51.34,52.2,2453323
2011-10-13 00:00:00-04:00,51.95,52.2645,50.81,51.84,1800185
2011-10-14 00:00:00-04:00,52.4,53.279,52.29,53.09,1578053
2011-10-17 00:00:00-04:00,52.82,52.82,51.66,51.83,1702776
2011-10-18 00:00:00-04:00,51.82,53.96,51.72,53.7,3008172
2011-10-19 00:00:00-04:00,53.66,54.01,52.87,53.09,2293427
2011-10-20 00:00:00-04:00,53.53,53.53,52.08,53.36,1947291
2011-10-21 00:00:00-04:00,54.02,55.16,53.93,55.13,1497716
2011-10-24 00:00:00-04:00,55.3,56.61,55.04,56.53,2775398
2011-10-25 00:00:00-04:00,56,56.25,55.37,55.53,2024114
2011-10-26 00:00:00-04:00,56.08,56.3,55.13,56.05,1644397
2011-10-27 00:00:00-04:00,57.9,59.115,57.12,58.72,2026738
2011-10-28 00:00:00-04:00,58.15,58.83,58.07,58.76,1703263
2011-10-31 00:00:00-04:00,58.13,58.9,57.6,58.13,1941889
2011-11-01 00:00:00-04:00,56.56,57.56,55.99,56.1,3408280
2011-11-02 00:00:00-04:00,57.02,57.82,56.33,57.4,2201412
2011-11-03 00:00:00-04:00,58.05,58.29,56.49,58.09,2082876
2011-11-04 00:00:00-04:00,57.58,57.7799,56.7,57.64,1352468
2011-11-07 00:00:00-05:00,57.59,58.37,56.9,57.71,1605672
2011-11-08 00:00:00-05:00,58,58.49,56.71,58.41,1173905
2011-11-09 00:00:00-05:00,57.1,57.41,55.63,55.76,1851629
2011-11-10 00:00:00-05:00,56.43,56.61,55.4,55.78,2731846
2011-11-11 00:00:00-05:00,56.42,57.42,56.11,57.29,1733346
2011-11-14 00:00:00-05:00,56.94,57.06,55.81,56.09,1902032
2011-11-15 00:00:00-05:00,55.99,57.01,55.63,56.65,1677565
2011-11-16 00:00:00-05:00,56.06,56.94,55.93,56.04,1433912
2011-11-17 00:00:00-05:00,55.98,56.05,54.7,55.02,2219917
2011-11-18 00:00:00-05:00,55.38,55.49,54.75,55.44,1860745
2011-11-21 00:00:00-05:00,54.58,54.58,53.65,53.97,1921523
2011-11-22 00:00:00-05:00,53.77,54.25,53.39,53.73,1988057
2011-11-23 00:00:00-05:00,53.29,53.29,52.06,52.14,1598125
2011-11-25 00:00:00-05:00,52,53.3,51.89,52.35,632703
2011-11-28 00:00:00-05:00,53.88,54.17,53.0763,53.56,1658989
2011-11-29 00:00:00-05:00,53.6,53.85,53.13,53.42,1763194
2011-11-30 00:00:00-05:00,54.81,56.0003,54.76,55.93,2028789
2011-12-01 00:00:00-05:00,55.79,55.91,54.9204,55.36,2257379
2011-12-02 00:00:00-05:00,55.8,56.36,55.37,55.42,1323707
2011-12-05 00:00:00-05:00,56.18,56.5,55.49,55.89,1259891
2011-12-06 00:00:00-05:00,55.81,56.14,55.42,55.83,1534404
2011-12-07 00:00:00-05:00,55.74,56.61,55.23,56.45,1630338
2011-12-08 00:00:00-05:00,56.095,56.2,55.01,55.16,1606235
2011-12-09 00:00:00-05:00,55.52,56.61,55.31,56.3,1140462
2011-12-12 00:00:00-05:00,55.85,55.85,54.87,55.31,1228767
2011-12-13 00:00:00-05:00,55.66,56.107,54.41,54.75,1512777
2011-12-14 00:00:00-05:00,54.5,55.59,54.3,55.05,2086969
2011-12-15 00:00:00-05:00,55.51,56.159,55.36,55.89,1237849
2011-12-16 00:00:00-05:00,56.16,57.01,56.06,56.53,1689687
2011-12-19 00:00:00-05:00,56.65,56.87,55.91,56.02,1303900
2011-12-20 00:00:00-05:00,56.85,57.82,56.68,57.73,1224204
2011-12-21 00:00:00-05:00,57.73,57.94,57.27,57.78,1266713
2011-12-22 00:00:00-05:00,57.95,58.87,57.82,58.56,1300482
2011-12-23 00:00:00-05:00,58.3,58.34,57.77,58.17,928118
2011-12-27 00:00:00-05:00,58.1,58.85,57.78,58.44,1093109
2011-12-28 00:00:00-05:00,58.56,58.622,57.7075,57.71,1295738
2011-12-29 00:00:00-05:00,57.9,58.38,57.73,58.24,919551
2011-12-30 00:00:00-05:00,58.37,58.71,57.9799,57.99,1745772
2012-01-03 00:00:00-05:00,58.95,59.65,57.99,58.47,4485918
2012-01-04 00:00:00-05:00,58.1,58.25,57.32,57.46,2273134
2012-01-05 00:00:00-05:00,57.48,58.15,57.031,58.04,1718535
2012-01-06 00:00:00-05:00,58.18,58.34,57.57,57.82,1224007
2012-01-09 00:00:00-05:00,58.01,58.12,57.49,57.64,1485908
2012-01-10 00:00:00-05:00,58.31,58.65,58.19,58.34,1478536
2012-01-11 00:00:00-05:00,58.19,58.8,58.02,58.69,1347623
2012-01-12 00:00:00-05:00,58.64,58.78,57.91,58.26,1675017
2012-01-13 00:00:00-05:00,57.94,58.4,57.67,58.39,1457527
2012-01-17 00:00:00-05:00,58.97,59.285,58.64,58.86,1384408
2012-01-18 00:00:00-05:00,58.96,59.48,58.82,59.25,1447330
2012-01-19 00:00:00-05:00,59.51,59.7276,59.21,59.55,1198628
2012-01-20 00:00:00-05:00,59.57,59.9399,59.16,59.93,1220595
2012-01-23 00:00:00-05:00,60.07,60.4,59.77,60.17,1188878
2012-01-24 00:00:00-05:00,59.9,60.63,59.78,60.59,1769450
2012-01-25 00:00:00-05:00,60.58,61.46,60.35,61.38,1450637
2012-01-26 00:00:00-05:00,61.72,62.115,61.55,61.8,1579868
2012-01-27 00:00:00-05:00,61.66,62.05,61.35,61.9,1363969
2012-01-30 00:00:00-05:00,61.58,61.58,61.1,61.38,2271805
2012-01-31 00:00:00-05:00,61.8,61.8401,61.3,61.68,1859619
2012-02-01 00:00:00-05:00,62.21,62.4,61.96,62.3,3082439
2012-02-02 00:00:00-05:00,62.36,62.46,62.12,62.44,2669736
2012-02-03 00:00:00-05:00,62.98,63.35,62.7269,63.35,2564052
2012-02-06 00:00:00-05:00,63.16,63.31,62.76,63.08,1678514
2012-02-07 00:00:00-05:00,63.1,63.2,62.83,63,1930772
2012-02-08 00:00:00-05:00,63.07,63.345,62.632,63.09,1694601
2012-02-09 00:00:00-05:00,63.2,63.27,62.24,62.58,1366234
2012-02-10 00:00:00-05:00,62.1,62.45,61.84,62,1553851
2012-02-13 00:00:00-05:00,62.3701,62.82,62.3,62.7099,1730546
2012-02-14 00:00:00-05:00,62.66,62.73,61.6377,61.97,1616394
2012-02-15 00:00:00-05:00,62.14,62.22,61.44,61.67,1886571
2012-02-16 00:00:00-05:00,61.89,62.42,61.52,62.32,2225437
2012-02-17 00:00:00-05:00,62.47,62.5,61.92,62.336,1624983
2012-02-21 00:00:00-05:00,62.48,62.55,61.14,61.37,2711293
2012-02-22 00:00:00-05:00,61.34,61.59,60.7834,60.83,2066585
2012-02-23 00:00:00-05:00,60.79,61.65,60.78,61.63,2296670
2012-02-24 00:00:00-05:00,61.79,61.92,61.3099,61.69,1768654
2012-02-27 00:00:00-05:00,61.36,61.81,60.84,61.62,1967751
2012-02-28 00:00:00-05:00,61.75,61.86,61.05,61.21,2303774
2012-02-29 00:00:00-05:00,61.43,61.69,60.89,61.03,2840627
2012-03-01 00:00:00-05:00,61.05,61.52,61,61.37,3200190
2012-03-02 00:00:00-05:00,61.22,61.61,61.0615,61.26,1729967
2012-03-05 00:00:00-05:00,61.25,61.8801,60.98,61.86,1577726
2012-03-06 00:00:00-05:00,61.16,61.691,60.95,61.05,2135102
2012-03-07 00:00:00-05:00,61.35,61.42,60.65,61.4,1297393
2012-03-08 00:00:00-05:00,61.55,61.6,60.91,61.11,1408216
2012-03-09 00:00:00-05:00,61.26,61.6,61,61.39,1545324
2012-03-12 00:00:00-04:00,61.35,62.01,61.35,61.79,1709601
2012-03-13 00:00:00-04:00,62.15,63.18,62.07,63.07,2352410
2012-03-14 00:00:00-04:00,63.17,63.33,62.52,62.88,2199411
2012-03-15 00:00:00-04:00,63.06,63.06,62.58,62.83,1552798
2012-03-16 00:00:00-04:00,62.91,63.24,62.81,63.18,1731462
2012-03-19 00:00:00-04:00,63.18,63.97,62.94,63.67,1916616
2012-03-20 00:00:00-04:00,63.23,63.78,63.22,63.56,1731994
2012-03-21 00:00:00-04:00,63.64,63.7405,63.42,63.44,1467718
2012-03-22 00:00:00-04:00,63.08,63.08,62.19,62.61,1769047
2012-03-23 00:00:00-04:00,62.63,63.27,62.35,63.01,2435392
2012-03-26 00:00:00-04:00,63.01,63.32,62.79,63.16,1578753
2012-03-27 00:00:00-04:00,63.32,63.582,63.08,63.19,1999668
2012-03-28 00:00:00-04:00,63.22,63.25,62.46,63.04,1546276
2012-03-29 00:00:00-04:00,62.7,63.18,62.335,63.1,1503500
2012-03-30 00:00:00-04:00,63.38,63.79,63.28,63.66,1912501
2012-04-02 00:00:00-04:00,63.73,64.17,63.49,64.08,4931613
2012-04-03 00:00:00-04:00,64.07,64.19,63.6,63.85,2270341
2012-04-04 00:00:00-04:00,63.37,63.47,62.89,63.15,1685148
2012-04-05 00:00:00-04:00,62.98,63.21,62.68,62.88,2292736
2012-04-09 00:00:00-04:00,62.08,62.52,61.83,62.25,1083707
2012-04-10 00:00:00-04:00,62.25,62.42,60.84,60.92,2573773
2012-04-11 00:00:00-04:00,61.5,61.7,61.18,61.68,1635497
2012-04-12 00:00:00-04:00,61.81,62.55,61.53,62.55,1323830
