,QQQ_close,QQQ_return,QQQ_SMA50,QQQ_SMA200,QQQ_Vol,LQD_close,LQD_return,LQD_SMA50,LQD_SMA200,LQD_Vol,VNQ_close,VNQ_return,VNQ_SMA50,VNQ_SMA200,VNQ_Vol,USO_close,USO_return,USO_SMA50,USO_SMA200,USO_Vol,PZA_close,PZA_return,PZA_SMA50,PZA_SMA200,PZA_Vol,VMBS_close,VMBS_return,VMBS_SMA50,VMBS_SMA200,VMBS_Vol,TLT_close,TLT_return,TLT_SMA50,TLT_SMA200,TLT_Vol
2011-05-02,58.9924,,,,44312089,110.31,,,,1374460.0,61.9,,,,2324829,44.9395,,,,10740748,22.75,,,,208419,50.77,,,,9903.0,93.63,,,,4389946.0
2011-05-03,58.69,-0.005126084037944012,,,30746589,110.25,-0.0005439216752788356,,,648982.0,61.39,-0.008239095315024203,,,1828226,44.12,-0.018235627899731988,,,14207198,22.82,0.0030769230769231992,,,83321,50.859,0.0017530037423674205,,,3887.0,94.15,0.005553775499305802,,,5952435.0
2011-05-04,58.6,-0.0015334810018742262,,,48174869,110.4,0.0013605442176871652,,,656364.0,61.05,-0.005538361296628214,,,1577434,43.26,-0.01949229374433359,,,13263494,22.94,0.005258545135845782,,,140827,50.8176,-0.0008140152185454053,,,3146.0,94.59,0.004673393520977065,,,6600138.0
2011-05-05,58.28,-0.00546075085324238,,,60501065,110.79,0.003532608695652195,,,761126.0,60.97,-0.0013104013104012768,,,1846927,39.328,-0.09089227924179366,,,58446897,23.03,0.0039232781168265785,,,256741,50.988,0.003353168980825494,,,1731.0,95.46,0.009197589597208955,,,7990952.0
2011-05-06,58.48,0.0034317089910775866,,,59986642,110.77,-0.00018052170773541487,,,830286.0,60.45,-0.008528784648187515,,,2121920,38.87,-0.011645646867372017,,,38637577,23.0,-0.0013026487190621605,,,109594,51.04,0.0010198478073271122,,,11474.0,95.0701,-0.004084433270479804,,,8701719.0
2011-05-09,58.68,0.0034199726402188713,,,37773579,110.93,0.001444434413649942,,,469204.0,60.77,0.00529363110008263,,,963490,40.8884,0.051926935940313834,,,20986712,23.09,0.003913043478260825,,,66468,51.1272,0.001708463949843253,,,11320.0,94.97,-0.0010529072757891056,,,3288931.0
2011-05-10,54.58,-0.06987048398091344,,,32767694,110.41,-0.004687640854593056,,,936530.0,61.75,0.01612637814711193,,,1647864,41.07,0.00444135745101315,,,14426227,23.1,0.00043308791684726344,,,101247,51.058,-0.0013534869893129242,,,8513.0,94.31,-0.006949563019901017,,,4639999.0
2011-05-11,58.76,0.07658482960791502,,,47625485,110.63,0.001992573136491149,,,532143.0,61.08,-0.010850202429149802,,,1696225,39.34,-0.04212320428536642,,,27560234,23.11,0.00043290043290045155,,,156206,50.9,-0.003094519957695163,,,58027.0,94.82,0.0054076980171773315,,,5275988.0
2011-05-12,59.11,0.005956432947583412,,,53990412,110.39,-0.0021693934737412324,,,581240.0,61.15,0.0011460379829730805,,,1369503,39.27,-0.001779359430605032,,,28432214,23.12,0.00043271311120740563,,,167168,50.9,0.0,,,16003.0,94.24,-0.0061168529846024056,,,7146119.0
2011-05-13,53.86,-0.08881745897479276,,,55780382,110.7,0.002808225382733953,,,1050608.0,60.5,-0.010629599345870822,,,1449339,39.43,0.004074357015533492,,,19344175,23.12,0.0,,,200889,51.1212,0.0043457760314342675,,,5885.0,95.06,0.008701188455008557,,,7003447.0
