Date,open,high,low,close,volume
2011-05-02 00:00:00-04:00,110.05,110.43,109.96,110.31,1374460
2011-05-03 00:00:00-04:00,110.33,110.4,110.09,110.25,648982
2011-05-04 00:00:00-04:00,110.46,110.59,110.31,110.4,656364
2011-05-05 00:00:00-04:00,110.51,110.88,110.51,110.79,761126
2011-05-06 00:00:00-04:00,110.56,111.03,110.42,110.77,830286
2011-05-09 00:00:00-04:00,110.81,111,110.73,110.93,469204
2011-05-10 00:00:00-04:00,110.8,110.83,110.4,110.41,936530
2011-05-11 00:00:00-04:00,110.45,110.77,110.31,110.63,532143
2011-05-12 00:00:00-04:00,110.57,110.7,110.18,110.39,581240
2011-05-13 00:00:00-04:00,110.64,110.93,110.55,110.7,1050608
2011-05-16 00:00:00-04:00,110.64,111.0799,110.6,111.01,585864
2011-05-17 00:00:00-04:00,111.05,111.349,110.9901,111.16,1124578
2011-05-18 00:00:00-04:00,111.24,111.36,110.87,110.93,463151
2011-05-19 00:00:00-04:00,110.59,111.1,110.5,111.088,412881
2011-05-20 00:00:00-04:00,110.91,111.09,110.8,111.02,541683
2011-05-23 00:00:00-04:00,111.29,111.35,110.9,110.96,1149763
2011-05-24 00:00:00-04:00,110.86,111.19,110.81,111.0901,574649
2011-05-25 00:00:00-04:00,111.22,111.22,110.78,110.87,650794
2011-05-26 00:00:00-04:00,111.1,111.34,110.98,111.34,1005882
2011-05-27 00:00:00-04:00,111.24,111.45,111.11,111.45,483350
2011-05-31 00:00:00-04:00,111.43,111.58,111.3,111.46,867640
2011-06-01 00:00:00-04:00,111.38,111.9,111.31,111.53,1363474
2011-06-02 00:00:00-04:00,111.25,111.25,110.55,110.56,1176460
2011-06-03 00:00:00-04:00,111.03,111.24,110.53,110.85,653112
2011-06-06 00:00:00-04:00,110.53,110.7844,110.45,110.62,429251
2011-06-07 00:00:00-04:00,110.53,111.03,110.47,111,391331
2011-06-08 00:00:00-04:00,111.03,111.2355,110.91,111.05,435093
2011-06-09 00:00:00-04:00,111.15,111.25,110.56,110.75,1248171
2011-06-10 00:00:00-04:00,110.82,110.9899,110.53,110.61,1103615
2011-06-13 00:00:00-04:00,110.59,110.87,110.48,110.77,893766
2011-06-14 00:00:00-04:00,110.42,110.55,110.31,110.4,627985
2011-06-15 00:00:00-04:00,110.35,111.05,110.3,111.03,1001076
2011-06-16 00:00:00-04:00,111,111.09,110.73,110.83,985631
2011-06-17 00:00:00-04:00,110.78,111.05,110.76,110.86,533959
2011-06-20 00:00:00-04:00,110.99,111,110.62,110.88,608217
2011-06-21 00:00:00-04:00,110.85,111.06,110.65,110.85,681448
2011-06-22 00:00:00-04:00,111.09,111.1,110.703,111,684565
2011-06-23 00:00:00-04:00,111.06,111.43,111,111.3,749174
2011-06-24 00:00:00-04:00,111.31,111.56,111.19,111.36,704379
2011-06-27 00:00:00-04:00,111.39,111.4204,110.91,110.98,909448
2011-06-28 00:00:00-04:00,110.74,110.82,110.13,110.26,837235
2011-06-29 00:00:00-04:00,110.19,110.338,109.8,109.97,1020085
2011-06-30 00:00:00-04:00,110.17,110.21,109.57,110.09,882771
2011-07-01 00:00:00-04:00,109.95,109.96,109.39,109.72,1200875
2011-07-05 00:00:00-04:00,109.72,110.38,109.72,110.09,1093759
2011-07-06 00:00:00-04:00,110.18,110.34,110.01,110.33,1293040
2011-07-07 00:00:00-04:00,110.07,110.43,110,110.35,1373224
2011-07-08 00:00:00-04:00,110.73,111.15,110.51,111.07,1034603
2011-07-11 00:00:00-04:00,111.36,111.5,111,111.459,1376321
2011-07-12 00:00:00-04:00,111.75,111.75,111.34,111.52,658709
2011-07-13 00:00:00-04:00,111.6593,111.85,111.41,111.79,1000987
2011-07-14 00:00:00-04:00,111.52,111.65,111.07,111.13,724930
2011-07-15 00:00:00-04:00,111.07,111.38,110.971,111.36,517942
2011-07-18 00:00:00-04:00,111.31,111.34,110.82,110.94,1128131
2011-07-19 00:00:00-04:00,110.98,111.57,110.934,111.48,1168028
2011-07-20 00:00:00-04:00,111.42,111.59,111.12,111.28,948811
2011-07-21 00:00:00-04:00,111.05,111.2583,110.85,111.06,913030
2011-07-22 00:00:00-04:00,111.33,111.53,111.182,111.5,1104467
