,Date,QQQ_close_price
0,1999-11-01,130.8
1,1999-11-02,126.3707275390625
2,1999-11-03,131.66734313964844
3,1999-11-04,131.50167846679688
4,1999-11-05,135.90713500976562
5,1999-11-06,138.22882080078125
6,1999-11-07,140.70648193359375
7,1999-11-08,142.95347595214844
8,1999-11-09,144.49681091308594
9,1999-11-10,146.3448028564453
10,1999-11-11,147.29627990722656
11,1999-11-12,148.09153747558594
12,1999-11-13,148.6645965576172
13,1999-11-14,148.9672088623047
14,1999-11-15,149.1053466796875
15,1999-11-16,149.3263702392578
16,1999-11-17,149.37025451660156
17,1999-11-18,149.33241271972656
18,1999-11-19,149.2537841796875
19,1999-11-20,149.24008178710938
20,1999-11-21,149.17819213867188
21,1999-11-22,149.02114868164062
22,1999-11-23,148.72438049316406
23,1999-11-24,148.3028106689453
24,1999-11-25,147.88961791992188
25,1999-11-26,147.68577575683594
26,1999-11-27,147.5625762939453
27,1999-11-28,147.38673400878906
28,1999-11-29,147.0503692626953
29,1999-11-30,146.74356079101562
30,1999-12-01,146.54058837890625
31,1999-12-02,146.28671264648438
32,1999-12-03,145.94741821289062
33,1999-12-04,145.7025604248047
34,1999-12-05,145.3924102783203
35,1999-12-06,145.13011169433594
36,1999-12-07,144.8617401123047
37,1999-12-08,144.58834838867188
38,1999-12-09,144.33351135253906
39,1999-12-10,144.13092041015625
40,1999-12-11,143.92579650878906
41,1999-12-12,143.7413787841797
42,1999-12-13,143.5767822265625
43,1999-12-14,143.42588806152344
44,1999-12-15,143.3052978515625
45,1999-12-16,143.1930389404297
46,1999-12-17,143.14122009277344
47,1999-12-18,143.10983276367188
48,1999-12-19,143.1341552734375
49,1999-12-20,143.19110107421875
50,1999-12-21,143.2805938720703
51,1999-12-22,143.39810180664062
52,1999-12-23,143.5287322998047
53,1999-12-24,143.67811584472656
54,1999-12-25,143.82371520996094
55,1999-12-26,143.96278381347656
56,1999-12-27,144.0904083251953
57,1999-12-28,144.2003173828125
58,1999-12-29,144.2906494140625
59,1999-12-30,144.36558532714844
60,1999-12-31,144.42152404785156
61,2000-01-01,144.45852661132812
62,2000-01-02,144.47802734375
63,2000-01-03,144.48387145996094
64,2000-01-04,144.47596740722656
65,2000-01-05,144.45321655273438
66,2000-01-06,144.4140167236328
67,2000-01-07,144.35797119140625
68,2000-01-08,144.2888641357422
69,2000-01-09,144.2146453857422
70,2000-01-10,144.1377410888672
71,2000-01-11,144.0568084716797
72,2000-01-12,143.9687042236328
73,2000-01-13,143.87615966796875
74,2000-01-14,143.78277587890625
75,2000-01-15,143.68740844726562
76,2000-01-16,143.58888244628906
77,2000-01-17,143.49058532714844
78,2000-01-18,143.39134216308594
79,2000-01-19,143.29296875
80,2000-01-20,143.19566345214844
81,2000-01-21,143.09967041015625
82,2000-01-22,143.0057830810547
83,2000-01-23,142.9153289794922
84,2000-01-24,142.82809448242188
85,2000-01-25,142.7444610595703
86,2000-01-26,142.6646728515625
87,2000-01-27,142.58880615234375
88,2000-01-28,142.5171661376953
89,2000-01-29,142.4496307373047
90,2000-01-30,142.38705444335938
